form,tags
abaie,"['indicative', 'present', 'singular', 'third-person']"
abaie,"['imperative', 'second-person', 'singular']"
abaie,"['present', 'singular', 'subjunctive', 'third-person']"
abaient,"['indicative', 'plural', 'present', 'third-person']"
abaient,"['plural', 'present', 'subjunctive', 'third-person']"
abaiera,"['future', 'indicative', 'singular', 'third-person']"
abaierai,"['first-person', 'future', 'indicative', 'singular']"
abaieraient,"['conditional', 'plural', 'third-person']"
abaierais,"['conditional', 'first-person', 'singular']"
abaierais,"['conditional', 'second-person', 'singular']"
abaierait,"['conditional', 'singular', 'third-person']"
abaieras,"['future', 'indicative', 'second-person', 'singular']"
abaierez,"['future', 'indicative', 'plural', 'second-person']"
abaieriez,"['conditional', 'plural', 'second-person']"
abaierions,"['conditional', 'first-person', 'plural']"
abaierons,"['first-person', 'future', 'indicative', 'plural']"
abaieront,"['future', 'indicative', 'plural', 'third-person']"
abaies,"['present', 'second-person', 'singular', 'subjunctive']"
abaies,"['indicative', 'present', 'second-person', 'singular']"
abaissa,"['historic', 'indicative', 'past', 'singular', 'third-person']"
abaissai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
abaissaient,"['imperfect', 'indicative', 'plural', 'third-person']"
abaissais,"['first-person', 'imperfect', 'indicative', 'singular']"
abaissais,"['imperfect', 'indicative', 'second-person', 'singular']"
abaissait,"['imperfect', 'indicative', 'singular', 'third-person']"
abaissant,"['gerund', 'participle', 'present']"
abaissas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
abaissasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
abaissassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
abaissasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
abaissassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
abaissassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
abaisse,"['first-person', 'indicative', 'present', 'singular']"
abaisse,"['indicative', 'present', 'singular', 'third-person']"
abaisse,"['present', 'singular', 'subjunctive', 'third-person']"
abaisse,"['imperative', 'second-person', 'singular']"
abaisse,"['first-person', 'present', 'singular', 'subjunctive']"
abaisse-toi,"['imperative', 'reflexive', 'second-person', 'singular']"
abaissent,"['indicative', 'plural', 'present', 'third-person']"
abaissent,"['plural', 'present', 'subjunctive', 'third-person']"
abaisser,['infinitive']
abaissera,"['future', 'indicative', 'singular', 'third-person']"
abaisserai,"['first-person', 'future', 'indicative', 'singular']"
abaisseraient,"['conditional', 'plural', 'third-person']"
abaisserais,"['conditional', 'second-person', 'singular']"
abaisserais,"['conditional', 'first-person', 'singular']"
abaisserait,"['conditional', 'singular', 'third-person']"
abaisseras,"['future', 'indicative', 'second-person', 'singular']"
abaisserez,"['future', 'indicative', 'plural', 'second-person']"
abaisseriez,"['conditional', 'plural', 'second-person']"
abaisserions,"['conditional', 'first-person', 'plural']"
abaisserons,"['first-person', 'future', 'indicative', 'plural']"
abaisseront,"['future', 'indicative', 'plural', 'third-person']"
abaisses,"['indicative', 'present', 'second-person', 'singular']"
abaisses,"['present', 'second-person', 'singular', 'subjunctive']"
abaissez,"['imperative', 'plural', 'second-person']"
abaissez,"['indicative', 'plural', 'present', 'second-person']"
abaissez-vous,"['imperative', 'plural', 'reflexive', 'second-person']"
abaissiez,"['plural', 'present', 'second-person', 'subjunctive']"
abaissiez,"['imperfect', 'indicative', 'plural', 'second-person']"
abaissions,"['first-person', 'plural', 'present', 'subjunctive']"
abaissions,"['first-person', 'imperfect', 'indicative', 'plural']"
abaissons,"['first-person', 'indicative', 'plural', 'present']"
abaissons,"['first-person', 'imperative', 'plural']"
abaissons-nous,"['first-person', 'imperative', 'plural', 'reflexive']"
abaissâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
abaissât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
abaissâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
abaissèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
abaissé,"['participle', 'past']"
abaissé,"['participle', 'past', 'reflexive']"
abaissée,"['feminine', 'singular']"
abaissées,"['feminine', 'plural']"
abaissés,"['masculine', 'plural']"
abala,"['historic', 'indicative', 'past', 'singular', 'third-person']"
abalai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
abalaient,"['imperfect', 'indicative', 'plural', 'third-person']"
abalais,"['imperfect', 'indicative', 'second-person', 'singular']"
abalais,"['first-person', 'imperfect', 'indicative', 'singular']"
abalait,"['imperfect', 'indicative', 'singular', 'third-person']"
abalant,"['gerund', 'participle', 'present']"
abalas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
abalasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
abalassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
abalasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
